,precision,recall,f1-score,support
0,0.04395604395604396,0.018779342723004695,0.026315789473684213,213.0
1,0.2097902097902098,0.1477832512315271,0.17341040462427745,203.0
2,0.038461538461538464,0.004651162790697674,0.008298755186721992,215.0
3,0.025,0.005434782608695652,0.008928571428571428,184.0
4,0.19678714859437751,0.24873096446700507,0.21973094170403587,197.0
5,0.030303030303030304,0.0051813471502590676,0.008849557522123895,193.0
6,0.30633802816901406,0.4142857142857143,0.3522267206477733,210.0
7,0.18828451882845187,0.21951219512195122,0.20270270270270271,205.0
8,0.04,0.009345794392523364,0.01515151515151515,214.0
9,0.09090909090909091,0.030456852791878174,0.045627376425855515,197.0
10,0.15841584158415842,0.16080402010050251,0.1596009975062344,199.0
11,0.0,0.0,0.0,214.0
12,0.09597523219814241,0.16062176165803108,0.1201550387596899,193.0
13,0.2626582278481013,0.4029126213592233,0.31800766283524906,206.0
14,0.21754385964912282,0.2897196261682243,0.24849699398797598,214.0
15,0.08943089430894309,0.05555555555555555,0.06853582554517133,198.0
16,0.27722772277227725,0.2828282828282828,0.27999999999999997,198.0
17,0.1746031746031746,0.05759162303664921,0.08661417322834646,191.0
18,0.7090909090909091,0.8167539267015707,0.7591240875912408,191.0
19,0.10756972111553785,0.12980769230769232,0.11764705882352942,208.0
20,0.0847457627118644,0.07281553398058252,0.0783289817232376,206.0
21,0.09448818897637795,0.11764705882352941,0.10480349344978165,204.0
22,0.17972350230414746,0.203125,0.19070904645476774,192.0
23,0.12465373961218837,0.24193548387096775,0.16453382084095064,186.0
24,0.2824074074074074,0.31443298969072164,0.2975609756097561,194.0
25,0.07441860465116279,0.08247422680412371,0.078239608801956,194.0
26,0.2358490566037736,0.12562814070351758,0.16393442622950818,199.0
27,0.3443223443223443,0.4845360824742268,0.4025695931477516,194.0
28,0.009009009009009009,0.004901960784313725,0.006349206349206348,204.0
29,0.13793103448275862,0.1592920353982301,0.1478439425051335,226.0
30,0.11834319526627218,0.1,0.1084010840108401,200.0
31,0.0,0.0,0.0,207.0
32,0.0,0.0,0.0,200.0
33,0.12142857142857143,0.17616580310880828,0.14376321353065538,193.0
34,0.06,0.014150943396226415,0.022900763358778626,212.0
35,0.20906801007556675,0.40487804878048783,0.27574750830564787,205.0
36,0.13636363636363635,0.030927835051546393,0.050420168067226885,194.0
37,0.11570247933884298,0.06422018348623854,0.08259587020648967,218.0
38,0.1694915254237288,0.052083333333333336,0.0796812749003984,192.0
39,0.0,0.0,0.0,196.0
40,0.16986301369863013,0.29245283018867924,0.21490467937608318,212.0
41,0.05263157894736842,0.008968609865470852,0.015325670498084292,223.0
42,0.5709219858156028,0.7123893805309734,0.6338582677165354,226.0
43,0.1111111111111111,0.0047169811320754715,0.009049773755656108,212.0
44,0.0625,0.09405940594059406,0.07509881422924901,202.0
45,0.2323943661971831,0.1746031746031746,0.19939577039274928,189.0
46,0.21691176470588236,0.2964824120603015,0.2505307855626327,199.0
47,0.026455026455026454,0.02702702702702703,0.026737967914438502,185.0
48,0.0594059405940594,0.05853658536585366,0.05896805896805897,205.0
49,0.17753623188405798,0.23333333333333334,0.20164609053497942,210.0
50,0.13008130081300814,0.24242424242424243,0.16931216931216933,198.0
