,acoustic,afrobeat,alt-rock,alternative,ambient,anime,black-metal,bluegrass,blues,brazil,breakbeat,british,cantopop,chicago-house,children,chill,classical,club,comedy,country,dance,dancehall,death-metal,deep-house,detroit-techno,disco,disney,drum-and-bass,dub,dubstep,edm,electro,electronic,emo,folk,forro,french,funk,garage,german,gospel,goth,grindcore,groove,grunge,guitar,happy,hard-rock,hardcore,hardstyle,heavy-metal,hip-hop,honky-tonk,house,idm,indian,indie-pop,indie,industrial,iranian,j-dance,j-idol,j-pop,j-rock,jazz,k-pop,kids,latin,latino,malay,mandopop,metal,metalcore,minimal-techno,mpb,new-age,opera,pagode,party,piano,pop-film,pop,power-pop,progressive-house,psych-rock,punk-rock,punk,r-n-b,reggae,reggaeton,rock-n-roll,rock,rockabilly,romance,sad,salsa,samba,sertanejo,show-tunes,singer-songwriter,ska,sleep,songwriter,soul,spanish,study,swedish,synth-pop,tango,techno,trance,trip-hop,turkish,world-music
idm,1,5,0,0,18,1,2,3,0,0,2,1,1,5,1,1,0,1,0,0,0,1,0,0,27,1,4,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,2,0,0,0,0,25,3,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,1,16,1,17,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,2,0,0,5,1,0,0,16,0,2,0,6,3,4,1,2
indian,3,1,0,0,0,0,0,0,0,3,1,0,11,0,6,2,1,0,0,2,0,0,0,2,0,2,0,1,3,1,1,0,0,0,4,2,0,1,0,0,6,0,0,0,2,1,0,2,0,0,0,1,5,1,3,12,0,0,0,0,1,1,0,1,7,4,2,0,1,7,8,2,0,0,1,1,8,1,7,0,1,13,0,1,2,0,1,1,3,3,1,0,1,2,0,14,1,2,1,3,3,0,7,1,2,1,0,1,0,0,1,1,3,0
indie-pop,2,0,0,0,2,0,1,3,3,0,2,0,10,0,4,1,0,2,0,8,0,5,0,5,0,2,0,1,1,2,3,0,0,4,5,3,0,2,0,0,1,0,0,0,9,2,1,1,1,1,1,1,9,2,0,3,0,0,1,1,1,0,0,0,3,2,4,1,2,2,7,0,0,0,2,0,3,2,5,0,1,2,4,0,2,0,2,2,0,2,2,1,2,2,6,4,1,1,4,7,2,0,8,2,0,0,0,2,1,0,0,1,3,9
indie,4,1,0,0,2,0,0,3,2,1,0,0,4,0,7,5,0,0,1,4,1,7,0,5,0,0,2,1,2,5,5,0,0,4,1,3,1,4,0,1,1,1,0,0,9,4,2,0,0,0,3,3,7,2,0,4,0,1,0,1,2,1,0,0,5,3,8,1,0,1,11,1,0,0,1,0,1,0,6,0,0,2,6,2,0,0,1,0,0,1,5,1,0,1,2,0,2,4,4,4,1,0,4,4,1,0,1,2,0,0,0,0,1,5
industrial,0,0,1,2,1,0,7,0,0,1,12,0,0,0,0,0,0,0,0,1,1,0,11,1,4,3,0,3,2,1,1,0,1,2,0,0,0,0,0,0,2,1,1,1,5,0,8,7,9,7,19,0,0,1,1,0,0,0,16,0,1,4,0,0,0,0,0,0,0,0,1,7,12,1,1,0,0,0,7,1,0,1,3,5,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,10,0,3,5,1,0,4
iranian,0,0,1,0,5,2,25,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0,5,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,7,0,1,1,1,0,0,4,5,0,0,0,7,1,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,2,9,2,0,24,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15,0,0,1,1,0,0,0,0,4,0,0,3
j-dance,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0,1,0,0,8,0,5,19,0,3,0,2,0,2,2,1,1,0,0,10,0,0,0,3,0,1,2,1,1,0,0,0,1,0,8,1,1,6,0,1,0,2,0,0,1,0,45,1,0,0,0,3,9,2,8,3,1,0,1,0,0,0,0,0,4,0,1,0,1,2,1,0,0,0,6,4,0,0,0,0,13,2,2,0,3,0,1,0,0,1,0,1,0,1,2,0,0,0,4,0
j-idol,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,12,1,2,1,0,0,0,0,6,0,0,0,0,4,0,3,0,1,0,7,3,1,3,1,0,0,1,0,0,0,0,0,0,0,84,1,4,0,1,0,0,0,0,3,1,5,0,1,0,0,1,8,0,0,2,1,1,0,1,1,2,3,0,1,0,0,0,0,5,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0
j-pop,2,0,0,1,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0,8,2,1,1,2,0,8,0,1,1,0,1,0,0,0,1,3,1,2,2,0,7,1,0,0,2,0,3,4,1,3,3,0,5,1,0,1,0,0,1,0,1,34,2,17,1,2,2,3,0,0,4,1,5,0,0,0,5,1,0,0,2,2,1,4,3,6,2,0,0,0,1,1,2,3,0,7,1,6,3,0,12,0,5,1,0,0,0,4,1,0,0,1,0,1
j-rock,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,6,2,1,3,0,1,5,0,2,2,0,0,1,0,0,1,0,0,0,1,0,8,0,2,0,2,0,5,2,4,3,7,0,1,2,1,0,0,0,1,0,0,27,1,9,1,0,1,0,0,3,6,1,10,0,6,0,0,1,6,0,1,2,2,0,2,5,3,0,1,0,3,0,3,7,0,4,3,1,0,0,5,0,1,0,0,1,0,6,1,0,0,1,1,3
jazz,2,1,0,0,1,0,0,0,0,0,1,0,4,1,4,2,2,0,1,5,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,21,0,0,3,2,0,0,0,0,0,1,0,62,0,0,0,0,4,2,0,0,1,0,1,15,0,0,0,2,4,0,1,0,0,0,0,0,0,0,2,2,18,0,7,1,1,6,0,0,0,5,3,0,6,0,2,3,0,0,2,2,1
k-pop,0,2,0,1,0,0,0,5,1,0,1,0,1,0,1,1,0,0,0,3,6,2,0,6,0,5,0,0,4,3,2,2,0,0,1,4,0,0,0,0,4,0,0,0,2,0,3,1,4,2,0,5,4,5,0,1,0,0,0,1,7,10,2,2,2,6,5,7,2,8,7,0,0,0,2,0,2,0,7,0,2,8,0,2,1,0,1,0,2,7,1,1,0,3,0,14,3,3,0,0,2,0,1,0,0,1,0,3,3,0,0,0,1,0
kids,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,3,0,0,1,1,1,8,0,3,1,3,1,0,0,1,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,5,4,0,0,0,0,0,0,2,3,0,0,1,0,74,2,2,1,0,0,0,0,0,0,0,0,8,0,3,0,2,1,0,0,1,1,2,6,0,1,0,0,2,1,0,0,0,0,6,0,1,0,0,1,0,1,2,0,0,0,3,0
latin,0,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,7,3,4,0,6,0,5,0,1,1,0,1,4,0,5,1,3,0,5,0,0,3,0,0,0,1,0,0,0,2,0,0,8,1,2,0,0,0,1,0,0,1,0,1,1,0,1,12,4,24,1,0,0,0,0,0,0,0,0,20,0,0,1,1,3,2,1,0,1,12,25,2,1,0,0,1,3,1,1,1,0,8,0,2,0,1,0,0,1,0,0,0,0,1,0
latino,0,1,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,7,5,0,4,0,2,0,0,2,0,0,2,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,2,0,0,0,0,0,0,2,1,0,1,0,5,13,2,25,0,2,0,0,0,0,0,0,1,20,0,2,0,0,2,0,0,0,0,10,34,0,0,0,0,3,6,0,0,0,0,1,0,0,1,2,0,0,0,0,0,2,0,5,0
malay,2,3,0,0,0,0,0,2,0,0,0,0,9,3,1,3,0,0,1,1,1,3,0,4,0,5,0,0,1,1,1,0,0,3,3,0,1,0,0,0,7,0,0,0,1,0,0,0,1,1,0,0,5,1,0,2,0,0,1,1,5,3,1,1,4,0,6,0,4,19,11,1,0,0,3,0,3,1,3,0,1,15,0,0,2,0,0,0,0,0,0,0,1,7,3,11,3,2,2,2,1,0,2,1,0,0,0,3,7,0,0,2,3,3
mandopop,2,0,1,0,0,0,0,4,0,0,0,0,17,0,1,1,0,1,0,6,0,0,0,2,0,2,0,0,0,8,0,0,0,3,2,2,0,0,0,0,6,2,0,0,2,0,0,0,0,0,3,0,3,2,0,3,0,0,0,0,0,5,0,0,6,4,1,1,0,5,55,0,0,0,0,0,4,0,1,0,1,2,0,1,3,1,0,0,0,0,3,1,0,4,1,7,0,0,2,0,1,0,3,0,1,0,0,1,2,0,1,0,4,11
metal,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,14,0,0,11,9,5,17,0,0,0,2,0,0,0,10,1,0,12,0,1,1,0,0,0,0,1,0,13,16,0,1,0,0,0,7,0,0,1,6,1,2,9,0,0,0,1,1,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,5,0,0,2,0,0,5
metalcore,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,1,0,2,1,8,0,9,0,8,11,12,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,4,69,0,0,0,0,0,2,0,0,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2
minimal-techno,0,1,0,0,0,0,1,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,8,22,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,4,0,0
mpb,0,2,0,0,0,0,0,7,0,4,0,0,13,1,3,1,0,0,0,2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,4,0,0,0,1,0,1,0,0,0,2,0,9,0,0,1,0,0,0,0,1,0,1,2,1,1,4,0,0,0,7,0,0,0,12,0,1,21,1,0,1,0,2,0,7,0,0,3,0,1,0,1,3,5,2,8,8,7,2,1,7,0,2,1,0,0,0,7,1,0,0,1,4,3
new-age,0,1,0,1,35,0,1,1,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,1,0,3,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,70,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,1,0,0,4,2,2
opera,0,0,0,0,4,0,0,6,0,0,0,0,5,0,0,0,7,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,3,0,4,0,0,0,0,0,0,8,0,0,1,0,6,0,0,0,0,0,4,1,2,0,0,6,71,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,6,2,0,3,1,0,0,2,0,0,1,0,0,0,0,2
pagode,0,0,0,0,0,0,0,6,1,0,0,0,1,0,3,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,3,0,1,76,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,8,30,19,1,0,0,0,1,1,0,0,1,3,4,0,0,0,1,0
party,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,3,0,0,2,0,6,0,0,0,2,0,0,0,3,0,6,0,0,0,0,2,0,0,0,3,0,4,0,6,8,0,0,0,0,0,0,0,0,0,0,1,15,0,1,0,0,9,0,0,0,0,0,2,0,0,0,0,0,86,0,0,0,1,3,0,2,2,0,0,1,1,1,2,0,0,1,2,10,0,0,7,0,0,0,0,0,0,4,0,0,1,0,2,0
piano,0,0,0,1,35,0,0,1,0,0,0,0,2,0,1,0,36,0,0,4,2,1,0,0,0,1,5,0,1,1,0,0,0,1,0,1,0,0,0,1,5,1,0,0,2,8,1,1,0,0,2,0,2,0,1,3,0,0,0,0,1,1,0,0,1,0,3,0,0,0,5,1,0,0,0,12,4,1,5,6,0,1,0,2,0,0,1,0,1,0,3,0,2,2,0,3,0,1,1,2,2,0,1,1,0,6,0,3,2,0,0,1,1,1
pop-film,0,1,0,0,0,0,0,1,0,0,0,0,3,2,0,3,0,0,1,1,8,3,0,1,0,4,1,2,1,3,1,1,0,3,1,9,1,2,0,0,3,0,0,1,1,0,0,0,1,1,0,3,2,5,0,2,0,0,0,2,0,3,0,1,2,2,10,1,1,10,9,1,2,0,0,0,2,0,5,0,2,7,0,0,1,0,1,1,2,11,2,1,1,3,2,4,0,1,9,1,3,0,0,0,2,0,0,3,2,1,0,0,2,1
pop,1,3,0,0,0,0,0,4,2,7,0,0,2,1,0,1,0,0,0,1,1,2,0,1,0,6,0,1,3,0,3,0,0,0,1,3,0,1,0,0,13,2,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,0,0,0,4,1,4,2,3,2,1,1,11,24,0,0,0,3,0,5,3,4,0,1,30,0,1,0,0,0,0,2,1,1,1,0,4,0,18,2,0,0,0,1,0,0,0,0,0,0,5,3,0,0,1,2,1
power-pop,1,0,0,0,0,0,4,3,1,0,0,0,3,0,1,0,0,0,0,7,0,0,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,8,0,0,0,9,0,2,0,1,7,0,1,3,0,2,0,0,0,0,0,2,0,0,5,0,1,2,0,0,0,0,0,1,0,5,0,1,0,0,0,3,0,0,0,53,2,15,10,4,0,0,0,7,1,1,0,0,0,0,4,0,0,10,0,0,0,0,0,0,17,0,0,0,0,0,3
progressive-house,0,0,0,1,0,2,3,0,0,0,0,0,0,0,1,0,0,2,0,3,1,2,0,8,1,1,0,1,3,12,11,0,1,1,0,1,1,1,0,0,0,0,0,1,2,0,0,0,1,10,3,0,0,7,1,0,0,0,2,0,1,4,0,1,0,0,5,2,0,0,0,0,3,5,0,0,0,0,11,0,0,1,0,23,1,0,0,0,2,1,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0,1,0,0,0,8,16,0,1,2
psych-rock,0,0,0,0,1,0,2,5,0,1,0,0,4,0,5,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,2,0,0,0,1,0,13,0,0,0,1,0,1,5,0,3,0,0,3,0,0,0,0,0,0,1,0,1,5,0,5,2,3,0,0,2,6,0,36,1,0,0,1,0,1,4,7,9,0,6,2,0,2,2,3,0,1,2,0,1,0,4,2,0,0,1,3,9
punk-rock,0,2,1,0,0,1,2,0,0,0,5,0,1,2,0,0,0,0,0,5,1,0,2,1,0,1,0,3,0,1,1,0,0,4,0,3,0,0,2,0,1,0,0,0,10,0,3,1,3,3,10,0,1,0,0,0,0,0,1,0,1,7,0,2,0,1,0,0,1,2,4,3,6,1,2,0,3,1,5,0,1,1,25,5,6,6,7,0,0,0,4,0,0,0,2,2,0,0,2,1,14,0,0,1,0,0,0,9,0,1,0,1,1,4
punk,1,2,2,0,0,0,0,2,0,0,1,0,3,3,0,0,0,0,0,4,3,2,2,0,0,3,0,2,0,0,0,0,0,3,3,6,0,0,3,0,2,0,2,0,9,0,4,6,4,4,8,0,1,1,0,1,0,0,2,0,0,10,0,3,0,0,1,0,0,0,2,2,10,1,1,0,0,3,4,0,0,0,23,1,5,10,3,0,0,0,2,0,0,0,0,1,2,1,0,0,12,0,0,0,0,0,0,10,0,0,0,0,3,1
r-n-b,2,1,0,0,0,0,1,3,1,2,0,0,5,2,4,0,0,0,1,2,0,3,2,1,0,2,0,0,0,0,0,0,0,3,1,11,0,1,0,0,2,1,0,0,4,1,3,1,2,0,6,0,9,1,0,1,0,0,0,0,3,1,0,2,6,0,5,2,0,4,5,0,0,0,4,0,0,4,4,0,1,3,3,0,5,2,2,0,0,4,1,1,5,0,2,7,10,7,1,2,8,0,0,1,0,0,0,5,6,0,0,0,5,3
reggae,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,4,8,0,3,0,2,0,2,2,0,0,2,0,6,0,2,0,7,0,0,0,0,0,0,0,0,2,0,2,1,0,6,0,1,0,0,0,0,1,0,5,0,0,0,0,4,10,4,13,1,2,0,0,0,1,0,0,2,24,0,1,1,0,2,0,1,0,1,14,30,0,0,1,0,2,7,0,4,0,0,4,0,0,0,0,0,0,1,0,0,1,1,2,0
reggaeton,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,7,0,6,0,3,0,0,0,0,1,2,0,4,0,6,0,10,0,0,0,0,0,0,0,0,1,0,4,2,0,6,0,1,0,0,0,0,0,0,4,0,0,1,0,1,11,6,19,0,2,0,0,0,0,0,0,0,18,0,3,0,0,1,0,0,0,1,14,32,0,0,0,0,1,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,3,0
rock-n-roll,0,1,3,2,0,0,2,0,0,0,2,0,0,0,5,0,0,1,0,5,2,1,3,0,0,1,0,1,3,4,2,0,0,1,1,1,0,0,0,0,4,1,0,0,9,0,0,6,2,4,3,0,5,1,1,2,0,0,0,0,0,8,3,4,2,1,1,0,0,0,6,1,3,0,1,0,7,0,2,0,0,1,5,0,15,3,6,0,0,1,4,0,2,1,0,5,0,1,2,0,8,0,1,9,1,2,0,10,0,0,0,0,1,3
rock,0,1,0,0,0,0,0,9,0,0,0,1,3,0,9,0,0,0,0,4,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,12,0,0,0,0,0,0,1,0,2,1,0,1,0,0,1,0,50,0,0,1,0,0,0,0,0,0,1,1,5,1,2,1,0,0,0,0,0,0,2,0,9,6,0,0,1,1,3,0,10,0,0,0,0,0,1,18,17,4,0,1,2,5,2,2,0,0,1,2,0,0,0,2,7,0,0,0,0,0
rockabilly,1,3,1,0,0,0,0,5,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,4,0,1,0,0,0,0,0,0,1,21,0,0,1,0,1,0,0,0,1,0,1,1,0,0,2,0,23,1,0,0,0,0,1,0,0,2,0,1,7,0,3,0,1,0,0,0,1,0,3,1,2,3,6,0,0,1,12,0,4,1,1,0,0,1,0,14,26,1,0,4,9,2,3,2,6,0,0,2,0,0,0,10,14,0,0,0,0,0
romance,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,10,0,0,0,0,2,0,0,0,0,0,3,17,2,0,0,0,2,0,0,2,0,0,2,0,0,0,2,1,84,0,1,6,0,4,0,0,3,0,0,0,0,0,0,30,0,0,0,1,1
sad,1,0,0,0,1,0,0,0,0,0,0,0,2,0,5,15,1,1,2,0,0,5,0,2,0,0,5,0,1,1,0,2,0,19,0,2,1,3,0,0,0,0,0,0,0,2,0,0,3,0,0,1,1,2,1,0,1,0,0,0,2,0,0,0,3,0,7,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,47,0,0,1,5,0,0,0,1,3,0,11,0,0,3,0,0,0,2,1
salsa,2,3,0,0,0,0,0,3,0,2,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,7,1,0,0,1,0,0,1,0,0,0,1,1,0,2,2,0,0,111,5,1,0,0,1,0,0,0,0,0,0,1,4,0,0,0,1,0
samba,1,2,0,0,0,0,0,5,1,2,1,0,2,0,2,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,5,0,1,0,0,3,1,0,1,0,1,1,1,2,1,0,0,1,0,0,2,0,0,0,0,1,2,0,0,1,0,4,0,0,4,0,0,0,0,4,0,5,34,1,0,0,1,1,0,4,0,0,2,2,0,1,3,5,2,1,14,39,6,3,0,4,0,1,1,0,0,1,2,3,0,0,0,2,2
sertanejo,3,0,0,0,0,1,0,1,1,0,0,0,1,0,4,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,22,0,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,1,3,0,2,1,0,1,0,0,0,2,0,0,0,4,0,0,19,8,0,0,1,0,0,2,3,0,2,0,0,1,1,1,0,0,4,4,75,1,1,1,0,0,5,0,0,0,0,3,0,0,0,0,0
show-tunes,4,0,0,0,3,0,0,1,0,4,0,0,1,0,8,1,1,0,4,1,1,1,0,0,0,0,7,1,2,0,0,0,0,1,0,2,0,1,0,1,4,0,0,0,0,0,0,0,1,0,1,0,3,0,0,2,1,0,0,2,1,1,0,1,12,0,4,0,0,1,3,0,0,0,0,1,40,0,0,0,0,2,1,1,3,0,0,1,0,0,0,3,1,14,0,0,5,4,25,2,1,3,5,4,0,1,0,0,5,0,0,0,2,3
singer-songwriter,6,1,0,0,1,0,0,3,1,0,0,0,18,0,3,5,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,4,0,8,0,1,0,1,0,0,5,0,0,0,0,2,0,0,0,0,3,0,9,0,0,1,0,1,0,0,0,0,0,1,9,0,1,0,0,0,15,0,0,0,0,0,5,1,0,0,2,2,1,0,3,0,1,0,0,0,0,1,1,3,3,3,0,0,11,6,4,0,13,4,0,0,0,8,2,0,0,1,2,3
ska,0,1,0,0,0,1,1,1,2,0,1,0,1,2,0,0,0,0,0,4,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,10,0,0,3,0,3,0,2,0,3,0,2,8,7,2,9,0,1,0,0,0,0,0,0,0,0,1,0,5,0,2,6,0,0,0,2,0,2,1,0,0,0,2,14,0,0,1,15,1,5,3,1,1,1,1,3,1,2,0,1,6,4,3,0,0,20,0,1,0,2,0,0,12,0,0,0,1,0,3
sleep,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0
songwriter,5,0,0,0,1,0,0,3,0,1,0,0,20,1,2,2,1,0,0,5,2,0,0,1,0,3,0,0,0,2,1,3,0,7,0,0,0,3,0,0,3,0,0,0,1,2,0,0,0,0,0,0,8,0,0,3,0,1,0,0,1,0,0,1,8,0,2,0,0,2,10,0,0,0,2,0,5,1,1,1,2,3,0,0,1,0,1,1,0,0,2,1,1,6,2,3,0,1,10,7,4,0,6,5,0,1,0,5,2,0,0,0,1,3
soul,1,1,0,1,0,0,0,1,3,1,0,0,6,3,4,5,0,0,0,2,5,3,0,3,0,0,2,1,0,2,1,0,0,4,0,8,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,2,8,3,0,1,0,1,0,0,0,0,0,0,3,2,11,0,1,1,8,0,0,0,0,0,5,0,0,0,1,2,1,1,9,0,0,5,1,2,4,4,5,10,7,2,1,2,5,1,1,0,2,9,0,0,0,3,4,0,0,0,2,1
spanish,3,0,0,0,1,0,0,1,0,2,0,0,3,0,0,1,0,0,0,7,1,3,1,3,0,0,0,1,0,1,2,0,1,0,0,12,1,1,0,0,8,1,0,0,4,0,2,1,2,2,5,0,2,2,0,1,0,0,0,0,4,10,1,0,0,4,4,3,0,6,4,0,1,0,2,0,1,2,14,0,1,3,4,1,2,2,1,0,2,5,0,1,0,1,1,4,6,4,2,1,10,0,1,0,0,0,1,7,2,0,0,0,6,4
study,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,145,0,0,0,0,0,1,0,0
swedish,1,0,0,1,0,0,0,3,1,0,0,0,7,0,2,3,0,1,0,4,0,3,0,5,0,7,1,1,3,3,4,0,0,8,0,6,1,0,0,1,3,0,1,0,0,0,0,2,0,0,5,1,4,1,0,2,0,1,0,0,2,0,1,0,2,1,3,0,2,0,1,1,0,1,0,0,4,3,4,0,0,2,5,1,1,0,0,2,1,1,4,3,2,5,5,7,3,1,2,1,12,0,2,2,0,0,0,2,1,0,0,1,2,2
synth-pop,0,2,1,0,0,1,3,2,2,1,1,0,4,4,0,1,0,0,0,0,2,0,0,10,3,5,0,0,0,5,2,0,0,0,0,2,0,0,1,0,5,0,0,0,3,2,0,8,0,0,2,0,1,1,1,1,0,0,1,0,0,5,0,2,0,1,4,1,0,1,3,1,1,4,4,0,2,0,2,0,0,1,3,4,8,0,0,0,0,0,2,0,3,0,0,12,0,0,0,0,10,0,1,2,1,2,0,28,0,0,0,2,1,5
tango,0,0,0,0,1,1,0,3,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,2,6,1,0,2,2,1,0,0,3,0,0,0,0,0,0,5,0,24,0,1,5,2,2,0,0,0,0,0,0,3,0,0,97,0,0,0,0,0
techno,0,1,1,0,1,0,1,2,0,0,7,0,1,14,0,1,0,0,0,0,3,0,1,7,9,1,0,1,0,1,6,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,10,0,0,7,0,0,0,0,3,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,4,0,0,55,0,0,0,1,6,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,4,0,14,13,3,1,1
trance,0,1,0,0,0,0,5,0,0,0,18,0,0,2,0,0,0,1,0,0,2,0,4,2,6,0,0,8,3,2,2,0,2,0,0,0,2,0,0,0,0,0,0,1,4,0,9,0,1,11,7,0,0,4,3,0,0,0,1,1,0,0,0,0,0,0,10,0,2,0,0,0,7,9,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,30,0,1,0
trip-hop,0,7,0,0,1,0,2,3,0,1,0,0,2,13,0,2,0,0,0,1,1,6,0,6,12,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,1,4,2,0,2,0,0,2,0,1,11,2,0,0,2,4,2,0,0,0,0,0,1,0,0,1,0,1,0,14,1,2,0,0,0,0,2,3,1,1,2,0,0,0,1,1,0,0,1,1,0,2,1,0,2,0,4,0,0,0,0,5,0,5,2,5,1,12,3,5
