,acoustic,afrobeat,alt-rock,alternative,ambient,anime,black-metal,bluegrass,blues,brazil,breakbeat,british,cantopop,chicago-house,children,chill,classical,club,comedy,country,dance,dancehall,death-metal,deep-house,detroit-techno,disco,disney,drum-and-bass,dub,dubstep,edm,electro,electronic,emo,folk,forro,french,funk,garage,german,gospel,goth,grindcore,groove,grunge,guitar,happy,hard-rock,hardcore,hardstyle,heavy-metal,hip-hop,honky-tonk,house,idm,indian,indie-pop,indie,industrial,iranian,j-dance,j-idol,j-pop,j-rock,jazz,k-pop,kids,latin,latino,malay,mandopop,metal,metalcore,minimal-techno,mpb,new-age,opera,pagode,party,piano,pop-film,pop,power-pop,progressive-house,psych-rock,punk-rock,punk,r-n-b,reggae,reggaeton,rock-n-roll,rock,rockabilly,romance,sad,salsa,samba,sertanejo,show-tunes,singer-songwriter,ska,sleep,songwriter,soul,spanish,study,swedish,synth-pop,tango,techno,trance,trip-hop,turkish,world-music
british,2,1,0,0,11,0,1,6,1,0,0,0,10,0,2,0,1,1,0,4,2,1,0,3,0,0,2,1,0,1,4,0,0,2,1,3,0,0,0,2,3,0,3,0,2,4,1,0,0,0,0,0,10,0,7,2,0,0,0,5,1,2,0,0,4,1,4,0,0,3,9,3,2,0,1,2,4,0,0,1,2,3,2,0,12,2,2,0,0,0,2,5,0,5,0,6,2,0,3,3,4,5,3,1,0,0,0,7,2,1,1,0,0,5
cantopop,5,0,0,0,0,0,0,7,1,0,0,0,31,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,1,0,7,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,3,45,0,0,0,6,0,5,2,0,1,0,5,3,1,7,0,0,0,0,0,0,2,1,6,0,5,2,1,3,1,0,0,8,1,0,0,0,4,1,0,0,0,2,4
chicago-house,0,3,0,0,0,0,0,0,1,1,9,0,0,83,0,0,0,0,0,1,1,1,0,6,37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,7,0,5,2,3,0,0
children,1,0,0,0,5,0,0,5,0,0,0,0,1,1,62,1,0,0,1,0,0,2,0,2,0,3,3,0,0,0,2,0,0,0,0,10,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,0,1,0,0,0,0,0,2,2,0,0,3,0,23,0,0,0,2,0,0,0,1,1,2,1,11,1,0,0,1,0,1,0,0,2,0,0,0,1,1,3,1,1,1,2,5,0,4,0,2,1,0,3,0,2,8,0,0,0,1,0
chill,1,0,0,0,0,0,1,1,0,0,0,0,4,0,13,11,1,2,2,3,1,1,0,0,0,0,2,1,1,1,0,2,0,7,1,3,0,4,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,2,4,1,0,0,0,0,1,0,0,0,5,0,18,3,1,0,0,0,0,0,0,1,1,0,1,0,3,1,1,4,2,0,0,0,0,0,0,0,0,4,28,1,0,1,8,0,0,0,2,1,0,24,0,2,2,0,1,0,3,2
classical,0,1,0,0,12,0,1,3,1,0,0,0,0,0,2,0,56,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,5,0,0,0,0,0,0,8,0,2,2,0,0,0,5,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,24,11,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,11,0,5,1,0,0,0,0,6,0,0,0,2,0,1,8,0,0,0,0,1
club,1,1,0,0,0,1,2,1,0,1,3,0,1,0,1,0,0,11,0,3,2,2,1,8,2,0,0,9,2,6,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,2,0,0,0,2,2,5,0,0,1,0,5,5,1,0,1,1,0,7,0,1,2,2,1,0,6,0,0,2,0,6,1,0,0,4,8,2,2,0,0,1,0,2,0,1,0,4,0,0,2,5,0,0,0,1,0,0,10,0,4,1,5,11,0,2,5
comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,156,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,0,2,0,0,0,1,1,0,0,0,1,3,0,0,0,1,0
country,3,0,1,0,0,0,0,6,0,0,0,0,4,1,1,0,0,0,0,27,0,1,0,1,0,0,0,0,0,3,2,0,0,1,1,3,0,0,0,0,4,0,0,0,7,0,0,2,1,0,0,0,8,6,1,1,0,0,1,0,0,2,3,3,2,0,9,0,0,0,11,0,0,0,1,0,5,3,11,0,0,0,12,1,3,0,1,1,0,0,2,1,2,2,0,4,2,0,3,4,11,0,3,1,0,0,0,9,5,0,0,0,0,5
dance,0,0,0,4,0,0,0,0,0,0,5,0,0,1,10,0,0,0,1,3,15,9,0,6,0,5,0,1,7,9,8,3,0,6,0,2,0,3,0,0,1,0,0,0,1,0,1,1,3,1,0,5,0,5,0,1,1,0,1,0,3,2,0,0,0,3,14,3,5,0,1,1,3,0,0,0,0,0,11,0,3,0,1,4,0,0,3,0,2,16,1,0,0,0,3,1,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,1
